F_st,S_st
6.039141402,98.5012748138
6.0727723914,98.4817525999
6.2108390065,98.4425138257
6.2939601355,98.3907418032
6.4086715631,98.35093985
6.6187874921,98.3104369342
6.6369006546,98.3056613817
6.7254760467,98.2494523327
6.8375489466,98.2322280415
7.0019464803,98.1800854652
7.032363411,98.1560632462
7.1603237758,98.1363739955
7.2768584476,98.0792875055
7.292557136,98.073796406
7.5391570662,98.0177308617
7.5891011809,97.9937894767
7.6622621005,97.9306427675
7.7631527892,97.9023651548
7.8452318775,97.8809210817
7.9243688966,97.8639003564
7.924443731,97.8247988009
8.0164860065,97.8143578659
8.0719795905,97.8123421419
8.1636037955,97.7760490532
8.325431453,97.705647596
8.5178441614,97.6664348478
8.6642108777,97.5560504472
8.6799493874,97.5540825642
8.7659351917,97.5378404029
8.8689016687,97.5307782942
8.9024443015,97.4913131158
9.1413821338,97.4201552581
9.3253474236,97.3641993024
9.3291170373,97.3185790453
9.3851509506,97.3082370736
9.4643292663,97.2847226921
9.9424156251,97.1120766998
9.9456576275,97.0768206516
9.9489437066,97.0489687266
9.9547348569,97.0154988113
10.1707116763,97.0089919767
10.2421559171,96.9897037543
10.3679301149,96.9122187861
10.5675586707,96.865637156
10.7664011761,96.7622647476
10.7920401784,96.755589398
11.0463835168,96.6731343298
11.0531529022,96.6688832798
11.4941302532,96.4497492244
11.8949521769,96.2933305345
12.1443396652,96.212964224
12.2781986798,96.1324992649
12.5752971739,96.0462961304
12.7050803,95.989225835
12.8635575608,95.8427480693
12.9774628214,95.7987579807
13.3242147433,95.7095253318
13.6299922286,95.572010702
13.6651960275,95.4824333687
13.9723576258,95.3568411056
14.1778543328,95.1734717939
14.6497919218,95.0500783662
15.0734985243,94.8087932057
15.1241244118,94.781208263
15.2363705111,94.6978052177
15.4752725833,94.6808290156
15.525926129,94.4739055269
15.6173178707,94.4652918576
16.0214749002,94.3775287553
16.0847753411,94.2994942411
16.1040039167,94.2744746886
16.5726178343,94.0049431963
16.602466173,93.9950537864
16.6857901214,93.8536228896
17.7100165533,93.3241992055
17.9821627611,93.0609912961
18.4587114075,92.8613695539
18.5319476314,92.7347242743
18.5512430961,92.7126892688
18.5948765261,92.6900367533
19.1703193885,92.5221642184
19.3121184404,92.2757295472
19.4464571721,92.1780435329
19.7310450784,92.0705899703
20.0142226631,91.9099079367
20.1064886037,91.8421234648
20.154405107,91.8106874548
20.1953946613,91.6126723173
20.3219995682,91.5136021867
20.698586061,91.3205386497
20.7922655694,91.0858995157
21.0407820128,91.0459531544
21.2604730202,90.7632365455
21.3798616396,90.7334995266
21.9730228092,90.1332119686
22.4921796535,89.7240856375
22.6695659686,89.5716543717
23.2291936501,88.9267088085
23.6245623175,88.6102611789
23.8621987485,88.2925668624
23.8747348258,88.1802533931
24.3730461988,87.7187301916
25.5564688403,85.8626212089
26.1177713116,85.2338787534
26.24247732,84.810212624
26.3323694723,84.5857433611
26.3860771594,84.433449335
26.5219531168,84.1877296359
26.8570556956,83.3923306941
27.3532551995,82.0150719706
1.3721498681,99.7033974677
1.5889110955,99.665560061
1.6445647572,99.6496404742
1.7135901736,99.6421744745
1.7815517705,99.6258002506
1.7880380577,99.6244345918
1.8324108891,99.624322822
1.8930076188,99.6060292448
1.9012002533,99.6032018358
1.9064329812,99.602781657
1.9324169354,99.59867639
1.9562515291,99.5972912864
1.9752331395,99.5849596286
1.9845458779,99.5835481611
2.0409441884,99.5824248518
2.0889714474,99.5698402639
2.1183966123,99.5628716034
2.1245802507,99.5551825645
2.1895349204,99.5515803872
2.2219873895,99.5359464969
2.2258813151,99.5345579366
2.2786889119,99.5275209854
2.3032201854,99.5160713871
2.3689604469,99.502471465
2.3940999067,99.4954401217
2.4012689852,99.4862994437
2.4616576175,99.485194361
2.4863618153,99.4827444855
2.5376772636,99.4698132431
2.6173458657,99.4511324478
2.6977675017,99.435298612
2.7214044551,99.4235337946
2.7632843693,99.4191754675
2.8746229005,99.3919831296
2.9558816486,99.3866816189
2.9778323581,99.3773818046
3.0375190151,99.3602213166
3.0388580865,99.3534841678
3.0391082377,99.3507113342
3.0489526298,99.3504707943
3.061685227,99.344146248
3.1030566933,99.3400300912
3.1546782652,99.3321081306
3.1595151215,99.3291771025
3.1941261743,99.320972836
3.2395391463,99.2989882951
3.2418873872,99.296802764
3.3122812268,99.2963656001
3.3216980484,99.289234618
3.3270654258,99.288748211
3.3496366947,99.2751838149
3.4803677509,99.2518625603
3.4848299897,99.2481641231
3.4975348446,99.2439301098
3.5009933954,99.2268084025
3.543213449,99.2265855128
3.5656671284,99.2226089946
3.5695185084,99.2213561861
3.5745987616,99.2132175925
3.5923516623,99.2117978557
3.656034634,99.2092794261
3.6596845498,99.1998587175
3.6615295782,99.1973046305
3.6899287154,99.1868945832
3.7191005531,99.1773225166
3.7867219631,99.1634414972
3.8094167388,99.1561727426
3.8154155682,99.1496608105
3.8449693696,99.1466795131
3.9531001015,99.124410791
4.0610547586,99.0796284953
4.1374459949,99.072583731
4.1993240442,99.0620115162
4.216495765,99.0352065757
4.2442174171,99.0198329404
4.2460492106,99.0197945284
4.2941805974,99.0178077498
4.3114739681,99.0130036787
4.3182150301,99.0067504404
4.4658653583,98.9526327824
4.5502806022,98.9509479363
4.5620990318,98.9388457844
4.5726882527,98.9274919546
4.6398100767,98.9272367262
4.702343978,98.9106249904
4.7388778603,98.8780714898
4.7734550107,98.8738331104
4.8445782755,98.856822466
4.874208755,98.8542683902
4.896319741,98.8521984981
4.9616828614,98.8326800174
5.1145680634,98.7802178699
5.175174282,98.7478128072
5.2454108837,98.7410702505
5.2543033318,98.7249989957
5.3446086926,98.7113901343
5.4045689184,98.6764974274
5.4639816986,98.6588597515
5.5316222541,98.6553309581
5.5497611193,98.6460707544
5.5528771908,98.645109238
5.8848604579,98.5224314215
5.9401973405,98.5084289975
6.0932422031,98.4790848712
6.1667878439,98.4526210202
6.2568331418,98.4129426411
6.3589072405,98.3719059334
6.3959889993,98.3650964804
6.4485546339,98.344901327
6.5554543519,98.3264462796
6.6486501215,98.2969852167
6.7000198573,98.2496071895
6.8189411707,98.2418539753
6.8506313285,98.2278376047
6.8649690836,98.1906088909
6.9252830277,98.1809387126
7.1743799833,98.1283446691
7.2267710349,98.0871129989
7.3652164739,98.0350904359
7.5978238927,97.9503209782
7.7608942414,97.9232932809
7.8656836581,97.8754008988
8.1086288339,97.7795754372
8.2221179281,97.7671818966
8.2283453888,97.7425226065
8.3730059779,97.6788497001
8.6103546286,97.6282233669
8.9016407521,97.4923863814
8.9478525933,97.487867399
9.0888213608,97.4640625895
9.2764505724,97.3946731604
9.719636303,97.2237024754
9.8346021442,97.1679636391
10.3091890728,96.9805334714
10.4871338537,96.8709233558
10.5975047877,96.8186011552
10.6402272011,96.7962115
10.6818346722,96.7831686422
10.8489430518,96.7233535841
10.9226911563,96.7195008402
11.1417395784,96.6049579311
11.2082043906,96.5888447486
11.2403457481,96.5660943817
11.3551776966,96.5372390541
11.4390525037,96.5170162331
11.5291737472,96.4024255913
11.5548654442,96.3865710506
11.6858383553,96.3703524211
11.7228315573,96.3682019092
11.8548038334,96.3505451168
12.002685543,96.235439365
12.2005372027,96.1918768298
12.7303803691,95.9583896924
12.7609990919,95.8752711887
12.7900062317,95.8699157504
12.8120836977,95.8621979576
12.9394064504,95.8280779972
13.060098663,95.791666604
13.3619778883,95.6602495416
13.4805612269,95.6157560921
13.6306205639,95.5274246604
13.8009667756,95.4643806203
13.835811149,95.3586872873
14.143821979,95.2795154738
14.2998604521,95.1438391852
14.4722082682,95.1433996978
14.4723335158,95.1019136699
14.7816682147,94.985871383
14.8073782924,94.9247866952
14.8796834801,94.9007252049
14.8853023586,94.8960958343
14.9605588016,94.8492942754
14.9899698162,94.8297949249
15.1365422216,94.772997994
15.2042332786,94.702316281
15.480452437,94.5698213528
15.4901457281,94.4798151686
15.7591424791,94.4332952825
16.078942768,94.3508937575
16.2482724798,94.2300506076
16.3649582758,94.1262977233
16.3753835138,94.0116315737
16.8907845156,93.8435034127
17.0201250917,93.8124914856
17.1593813658,93.6312818986
17.1626155155,93.6227335008
17.204235132,93.6055195868
17.4713709256,93.5305509977
17.5237237826,93.5248173354
17.5940685156,93.3765714546
17.7751054157,93.2879840434
17.8338279671,93.2140796585
17.9539332748,93.1562380877
18.0620035383,93.0530430197
18.3058994677,93.0264010644
18.4886144302,92.8190582803
18.5321550148,92.7148463134
18.8580229715,92.6301459151
19.2476842153,92.2787282727
19.9289774715,91.9722730426
20.3439790153,91.4980751858
20.6017105725,91.4461725533
20.7257942055,91.3066967732
21.123188166,91.0359371607
21.2302872385,90.9613831948
21.2471668281,90.8667371253
21.6109389586,90.6306919966
21.6963167318,90.3897783588
21.8201924836,90.3783142573
21.8392869641,90.249051378
21.9094395603,90.1665004904
22.0508813458,90.1296942679
22.2103977187,89.9903015649
22.2790272937,89.8770131157
22.3398035044,89.7505619979
22.6292841537,89.7181577215
22.6380585374,89.6021660452
23.0098857031,89.3765464261
23.0199445911,89.2571647116
23.1750629096,89.090854443
23.2109284202,89.0195357754
23.2258548401,89.0066579348
23.4410670751,88.7328195636
23.5061357437,88.7167816957
23.5486532313,88.6865045123
23.6372300616,88.5757214084
23.7255369575,88.3632393508
23.866065515,88.209820713
24.0640850722,88.146495037
24.1751762403,87.9578205717
24.3141951996,87.8489725346
24.4082976678,87.6587058229
24.4281982027,87.5250786489
24.4515759806,87.5175377302
24.4761750866,87.4964598479
24.5025021901,87.4865150599
24.6111093475,87.4804678241
24.6536171943,87.3436247533
24.7842057261,87.1518384957
24.8845995272,87.076114312
24.9128603046,86.9131608193
24.9770082266,86.8145441527
25.0165665872,86.7922180265
25.1345921275,86.7167516644
25.2583260071,86.6252889584
25.3353566088,86.37831568
25.4936321757,86.2530731426
25.5086109773,85.9390356741
25.5347859428,85.9038569103
25.8091480147,85.7979667649
25.8356772688,85.4823262061
25.8606230413,85.4797907706
25.9434610228,85.4215632187
25.957116366,85.3242356302
26.0760593308,85.2532463456
26.2179987147,84.8626258653
26.2577122361,84.7372175445
26.2894485675,84.7237287229
26.3442667988,84.513802079
26.3582629336,84.4341065194
26.4931192564,84.3774409944
26.5203991432,84.3537606811
26.6031135347,84.0195852508
26.7146344309,83.85362896
26.7439103532,83.6308424308
26.7603889811,83.5167742296
26.8083931854,83.4749136934
26.9573204551,83.2863485792
26.9706619593,82.9482619338
27.0927737908,82.9441637874
27.1083539085,82.9145115546
27.1500811193,82.6204863272
27.1541420602,82.5478881198
27.2053879729,82.4756719446
27.2718253983,82.4375156246
27.3236868416,82.2165316321
27.3916295732,81.9505883605
27.4253886616,81.7749621576
27.4266715115,81.6850134392
27.525333127,81.4805894533
27.5680573005,81.3623758899
27.6508651706,81.0567407245
27.6766871896,80.5146661964
27.7177656203,80.4749102747
