F_st_norm,S_st_norm
0.0032389363125408135,0.9991233863032408
0.0040096598312766435,0.9989964616307657
0.005712695748320933,0.9988023705976085
0.006519242361747433,0.9986048379898113
0.008052616105381964,0.9980499466774623
0.008619853715085288,0.9979390504779236
0.01023044182648389,0.9975614727657567
0.012022744511777738,0.9971666881027289
0.016481221427251783,0.9963625651653014
0.017773055966090398,0.9959966780755517
0.019238095989188634,0.9956964705140143
0.019516940843799423,0.9954739714605608
0.019583170046140998,0.9954543181112218
0.02075575141149814,0.9951240415014396
0.02236099257064815,0.9950867505853309
0.024098516621925758,0.994463864245446
0.024198672353242058,0.9943257901497256
0.025159813572692168,0.994234305582863
0.02558234830424763,0.9941356745458165
0.026287136238612206,0.9939832943187936
0.026700718014036767,0.9938960287327633
0.026853403867548725,0.9938246373106339
0.02822133328689238,0.9935665059680084
0.028753950305162417,0.9934761031211542
0.030261440211358244,0.9931201585988954
0.031982525222419116,0.9927945543564413
0.0320756942925688,0.9927534795065486
0.03260540431920961,0.9926791087634327
0.03281496613158036,0.9926411841066517
0.03329923258352192,0.9924657277196676
0.033545930360291056,0.9923726499437261
0.0362359728707049,0.9918366958540484
0.03665934094425474,0.9916472134051993
0.036701617230987076,0.9915251829351528
0.042818197387042685,0.990259676999145
0.04390988813644715,0.9900348836260395
0.04561187827190297,0.9894968005011102
0.049040479986228076,0.988646533032414
0.06211703925381067,0.9855070998579138
0.066695565801371,0.9844392149231114
0.07000823929466847,0.9838878895647326
0.0741881674571291,0.9828433380448202
0.07720197505865667,0.9820795296461138
0.07840740562191607,0.9818441951113881
0.08033735899833978,0.9815903943332793
0.08133513424072282,0.9808869129107892
0.08190746745437831,0.9804417796687932
0.08640423900520067,0.9797905547525592
0.08867779303664401,0.9788927821978156
0.09267958431399727,0.9776924225454251
0.09327818032991578,0.9774497264692459
0.09948369501126668,0.9757799971544208
0.09960478434900318,0.9755641015419385
0.10053320497354594,0.9753581527572824
0.1007531597175901,0.9752106766393086
0.10341320980794232,0.9748168628592615
0.10521971545722722,0.9746587431364266
0.10546824248425268,0.9746246558066987
0.10602896613816687,0.9738854887554483
0.11080392594069759,0.972532013599821
0.11173433852580587,0.9721392576467709
0.11435692157859817,0.9718929613436182
0.11936474925738896,0.9701418705300003
0.1211392739088428,0.9696497841568896
0.12497126787990373,0.9681754941809269
0.1262061850544595,0.9676090623973437
0.12635376608098944,0.967417793526153
0.12849248338385738,0.9671973875171496
0.1297254726832826,0.9670747830438404
0.12987140626629495,0.96630391799823
0.1357370415560097,0.9651673206306361
0.1443703878653679,0.9624301008206725
0.15081106759031937,0.9593407202465497
0.15246421054752193,0.9590097478796735
0.15261784488467717,0.9587973232640065
0.15290156216163164,0.9586121052493223
0.1534931015688903,0.9579918644895515
0.16213728744376263,0.9552045076533301
0.16545683253951085,0.954410194959246
0.16746676848029574,0.9538887371201442
0.17310180461504954,0.9517529694856294
0.1742078795284629,0.9510965725423796
0.17657690543248,0.9504580165102676
0.1898198046316203,0.945807907860019
0.19017619988131612,0.9449897607054073
0.19319789206903804,0.9441001060357607
0.19397595088645234,0.9440154162735711
0.19436202595529728,0.9434342490555256
0.19593698356877218,0.9430760667789542
0.20115382924163522,0.9405920997792167
0.20481900708820733,0.9396903157361012
0.2064653613411052,0.9390474757201096
0.21421554240803517,0.9373257115926052
0.2206624942908766,0.932763868565137
0.22075676098451033,0.9323039815345905
0.22192927016318148,0.932067468058331
0.22636544821938462,0.9301994034847139
0.2452486666427021,0.9240193498055248
0.2501563250720869,0.9214114021223117
0.2527968343644718,0.9191465720885974
0.28107486030195933,0.9084285415778134
0.28503581000842043,0.9075167658879555
0.29177141300467724,0.9057137391180204
0.29507286681966804,0.9030826520383977
