F_st_norm,S_st_norm
0.006643273922791511,0.9982347259335717
0.0072486067290883525,0.9980513772675217
0.009234504890092686,0.997568597006394
0.010170311174375911,0.9972242307450719
0.013321096853252364,0.9965599536919559
0.014062415159815229,0.9964128029640889
0.014251042666261315,0.9962950640055807
0.015133115581751379,0.9958061691244964
0.016390322304738587,0.9957314197935935
0.017701831454957146,0.9953867079717932
0.024514709671075427,0.9936673387945456
0.024592287370562852,0.9934882466373021
0.02513256879211778,0.9933427360008359
0.030955741841753218,0.9915105371960258
0.03281828871137982,0.9910207464473786
0.03753704018946879,0.98987480602559
0.03762680363767717,0.9898639751254642
0.042342593554328,0.9883413549474487
0.04535397173881389,0.9875304313809508
0.04581988564812863,0.987508538916671
0.05447120622522314,0.98506968820533
0.05480162033374303,0.98499521443003
0.05742502816950525,0.9842110274786047
0.057626833074229215,0.9838866148645488
0.06008182165756994,0.9835749805552263
0.06264693489389336,0.9826847229235234
0.06799996777541122,0.9812857483660384
0.06913393598798843,0.9808665142072759
0.07409490843826831,0.9793881596827075
0.07548377287882913,0.9788483651488482
0.07658490372954649,0.9787384548498548
0.0787209363173823,0.9775537802577241
0.08032605885774832,0.9774851965104911
0.08454167548162413,0.9766413487504921
0.0855681492646069,0.9762970787310542
0.0891610012520944,0.9753793600438669
0.09136542224705614,0.9748191041482708
0.09254966545191039,0.973272277953342
0.09380847416019336,0.9731188888225074
0.0958169205317173,0.9721496698973094
0.09694463272718339,0.9721100589005663
0.0988136371580618,0.9719828660519066
0.10162642860405563,0.9704434095234786
0.10941320004000904,0.9683803719171791
0.11045885827304049,0.9683422565227212
0.11512108081530723,0.9660981950143009
0.11955464793660875,0.9641756000388961
0.12086229860909654,0.9639058012122953
0.12628058624245653,0.9622318959311411
0.13042760620123917,0.9607849639153384
0.1353559355298357,0.9590667664653788
0.13699499734035397,0.9579188845771017
0.14006967688461353,0.9572353213431314
0.1411565497747677,0.9557799510877688
0.14202084824887012,0.9554544476945553
0.14469807251732367,0.9553281108270206
0.148262798131136,0.9533748094894805
0.1559433266012245,0.9502886609202277
0.15716306660314158,0.950137057725573
0.15757475137951527,0.9498754174386164
0.16262276766896835,0.9484667484713217
0.1650130685783061,0.9473978632629966
0.1703380837927414,0.9441487434052293
0.17192000374075173,0.9439319564085524
0.17356498193202555,0.943895539254748
0.1736243395917215,0.9435478659499075
0.17872495620180806,0.9420644594093945
0.18455660959040254,0.9388120408843641
0.18575255467150809,0.9384037376098641
0.19008959056091046,0.936571642665465
0.19341275137903322,0.9360910875604157
0.19794757810522767,0.9342141558411344
0.19798009669169436,0.9337262722704524
0.20038463346781102,0.9322310152823324
0.20541563438247643,0.9306099410019252
0.21265319905773378,0.9268220625803952
0.21808546539931958,0.9262042372957232
0.2208681451110846,0.9244767053417353
0.22583838344227788,0.922725873418769
0.22641319678984603,0.9219069445233566
0.234321911573998,0.9189667964082054
0.2409591579518818,0.9164957543921942
0.243156526668291,0.9144920406318952
0.24360527457624068,0.9140753850814105
0.24521205792165165,0.9138838226594419
0.25612422226942205,0.9093309422306308
0.26196818002036726,0.9075430872181315
0.26459886758829165,0.9055487971831544
0.26507408455315107,0.9053444860388078
0.26584113065520476,0.9037744333179077
0.26751700856405325,0.902515282275229
0.27260659324561615,0.901582899450619
0.27560207678333964,0.9003866111831332
0.27710851839812173,0.8967919698573088
0.2846310473411517,0.8960651738214439
0.28592467331105365,0.8950319172649122
0.28736241522108846,0.8947046143118619
0.2933636105747708,0.8917800158873044
0.3003283434286103,0.8873609395127577
0.30529386087266586,0.8862395376529486
0.31769824324815343,0.878948344448768
0.32125895953130346,0.8783050412604999
