F_st,S_st
19.702190257,91.3772447514
19.7556427719,91.295501663
19.9575222789,91.2848805785
20.0297714704,91.2497745598
20.0399915774,91.1294997028
20.0436646745,91.114731172
20.2750004122,91.0900127646
20.3462675277,90.9437911968
20.6625347192,90.6425016787
20.7197522895,90.530197014
20.9189239574,90.4067035872
21.1489813161,90.1993094483
21.2933925246,90.0353641195
21.5006978346,89.7800724243
21.6381846722,89.5707614658
21.8468962667,89.5696462365
21.8898839641,89.2920646267
21.9061618604,89.2818001673
22.2134989073,88.9239509296
22.4659842228,88.7278920404
22.5707938347,88.4994778666
22.5727256207,88.4967491836
22.714034807,88.444081558
23.0054360323,87.8050568015
23.275476519,87.6115958897
23.2979108203,87.5878736616
23.5687089059,87.1951175076
23.6367579302,86.9416484742
23.8632532511,86.6596056657
23.869924457,86.5974202832
23.9218999545,86.5272872972
24.0143474254,86.4250228856
24.1374437918,86.1096348009
24.3885866236,85.506161858
24.5001259406,85.3987238524
24.5181546542,85.1518203942
24.6395731098,85.1234902782
24.7180494653,84.9133087147
24.747674472,84.7291719318
24.8459470054,84.5353421273
24.9050675392,84.2491487064
25.0007902058,83.9257527953
25.0730683917,83.8189339929
25.1269212756,83.5813423388
25.1277523998,83.5759544875
25.231146228,83.4444577344
25.3896286042,82.5738127191
25.4883804481,82.2214639895
25.5218313364,82.0408412177
25.6702262728,80.6317504992
25.6830270077,80.4242978474
0.9430371307,99.8243751789
0.9464779874,99.8225863443
0.9605681397,99.8210489034
0.9657682056,99.8188124988
0.9750665468,99.8183966206
0.9987987721,99.8101305912
1.004138075,99.805512264
1.0228973258,99.8053751403
1.0430895679,99.8017218468
1.0547433298,99.7990651731
1.0690754473,99.7933415226
1.080643292,99.7923226607
1.1082377512,99.7885229254
1.1266842665,99.7855771903
1.1267534833,99.7855387942
1.1333535863,99.7826516423
1.1598907586,99.7801018961
1.1756316488,99.7736079891
1.2164825124,99.766035405
1.2252096833,99.7642413936
1.2288400217,99.7636921414
1.239651758,99.7627902778
1.3135154459,99.7520964739
1.3462252382,99.7418439059
1.3568320396,99.735808503
1.4026170913,99.7325215091
1.4244596077,99.7219507667
1.4286847623,99.72102686
1.4578977667,99.7198733639
1.4751086039,99.7129514514
1.4806974857,99.7093433045
1.4949726554,99.7070949927
1.4976288517,99.7020024783
1.5709102497,99.6929882354
1.5711322883,99.6911823589
1.5963096327,99.6896118248
1.6536536074,99.6764947608
1.6554429666,99.6737089876
1.6750584587,99.67120153
1.6843502871,99.6673625854
1.69754494,99.6631864733
1.7244541437,99.6596434192
1.7438852698,99.658166007
1.8229285735,99.6485016725
1.8370849763,99.6389429311
1.8438425176,99.6334992513
1.8635970489,99.6333844935
1.8924972067,99.625826718
1.9105954645,99.6232099519
1.9152487938,99.6191180813
1.9238509961,99.6147937935
1.9590376808,99.6104198844
1.9619025433,99.6053744862
1.9846318265,99.6003218398
1.9983771125,99.5971815962
2.0247624737,99.5962990909
2.0286582252,99.5934083448
2.0462487399,99.5914469794
2.0649789485,99.5913245693
2.1003425906,99.5809196218
2.1134556179,99.5798912259
2.1160441412,99.5756171933
2.1395809947,99.573402919
2.1416273105,99.5675821808
2.1708160971,99.5651553773
2.2023051859,99.5621379504
2.2146164371,99.5608362877
2.2187414319,99.5589138607
2.2262423001,99.5504726257
2.2750488891,99.5467686369
2.3299175406,99.5315196025
2.3343347886,99.5268208224
2.338677458,99.519823926
2.3837818589,99.5111290021
2.4086631734,99.5077601825
2.4634173581,99.5029106573
2.4756490522,99.4921478255
2.4927423172,99.4885182388
2.5126863332,99.4833649585
2.5452848574,99.4824943137
2.553375261,99.4803152288
2.5618127758,99.4756392719
2.5833282653,99.4695751471
2.6001182001,99.4663522308
2.6059255753,99.4651342503
2.6351410445,99.4597002687
2.6968789849,99.4403133809
2.7222886861,99.4392242659
2.744997541,99.4349602456
2.7922393513,99.4230814377
2.7965440842,99.4229007608
2.8534360731,99.4118497662
2.8615318634,99.4033582722
2.8820860428,99.4019320614
2.8820954606,99.396856389
2.8896272435,99.395913478
2.9576765413,99.3834015526
2.9637300625,99.3759805999
2.9751621602,99.3753384645
3.0175102413,99.3722807923
3.0533653769,99.3665644961
3.0791541107,99.357249959
3.0880224248,99.3503257352
3.1017758835,99.348696055
3.2305606571,99.3198720225
3.2994586912,99.3019000046
3.3039782076,99.2931488472
3.3550407744,99.2822119934
3.4008752848,99.2737557919
3.4018389724,99.2728513707
3.425179422,99.2676962756
3.4291654039,99.266616058
3.4405338336,99.2624043966
3.4536799466,99.2561325895
3.4909694145,99.2497080626
3.5047428334,99.2459278028
3.5414122127,99.2371754755
3.5775084861,99.2294933653
3.5887056202,99.227554198
3.6025694949,99.2123152333
3.6922472199,99.2002415847
3.7105380182,99.1942732659
3.7283678502,99.1913220105
3.7299995813,99.1792542489
3.750031603,99.1769110544
3.7510988379,99.1739381901
3.7574371219,99.1733206588
3.8353523246,99.1635962512
3.8702145057,99.1551508823
3.8759770716,99.150215891
3.9004960061,99.1406622545
3.9155619362,99.1292812858
3.9273122004,99.1267070609
3.9830034479,99.1215605477
4.0254588525,99.1028943771
4.032701814,99.1012679465
4.0782663347,99.0914039664
4.0895742371,99.0802356441
4.0961875675,99.0749902854
4.1516092373,99.0744864237
4.2518831293,99.0447839466
4.2794878165,99.0324789614
4.3682818832,99.0068356687
4.3706621024,98.9981701483
4.5545950465,98.9435930476
4.5854684076,98.9338152287
4.5985921745,98.9219439868
4.6057599971,98.9201941065
4.6740081059,98.9042559048
4.7178988238,98.8879647492
4.7757265332,98.8870664874
4.7783903071,98.8761446188
4.8391751156,98.8565965039
4.8697288766,98.8439743586
4.9241208556,98.8424980145
4.9875055921,98.8141373872
5.0322450237,98.8035680241
5.1340867481,98.7848509474
5.1571418991,98.7485569352
5.182929842,98.7394232452
5.2811113575,98.7276821746
5.3245597638,98.7103353508
5.3747367042,98.6818917397
5.3937994227,98.6660246769
5.5070658001,98.660483876
5.6352042477,98.6194825582
5.6681175384,98.5911023305
5.7528280656,98.5560847644
5.7742576364,98.5502898518
5.8680536325,98.533869668
6.0119153119,98.4939174512
6.0633491876,98.4437921801
6.1576303007,98.4420597419
6.1712836637,98.4274699376
6.3455941946,98.3793604954
6.4960039744,98.3342861182
6.6172686774,98.2926443494
6.6369964582,98.2781475254
6.7967873505,98.2423001297
7.0482515895,98.1420565428
7.0525110258,98.1352076279
7.0685905252,98.1260332231
7.1070743106,98.1052306487
7.140876409,98.0884668535
7.2191279433,98.085268519
7.2262444006,98.0809003142
7.294961311,98.0407311687
7.3578956398,98.0313496027
7.4244308267,98.0285192444
7.4370428305,98.0092404272
7.7201833561,97.8956209767
7.7898399212,97.8327525038
7.8705414107,97.8162331315
7.9613761687,97.8157834657
8.0949608999,97.7559538124
8.1396363158,97.7272814114
8.2507200253,97.6829357178
8.3714650403,97.6519685632
8.5091194735,97.5639008411
8.6457499486,97.5628610252
8.7901058578,97.5185952429
9.0935465488,97.4065243318
9.1840795101,97.3453837062
9.3498509097,97.2915261907
9.4382539444,97.2297657926
9.4840609809,97.2022146169
10.1532826103,96.9948457078
10.295789299,96.9123347711
10.3927965323,96.893480815
10.4709499134,96.804061966
10.5972274631,96.8026490105
10.6902366364,96.7586906108
10.7360408795,96.7267407974
10.8962044132,96.6804451425
10.9757262797,96.6034329595
11.0591306235,96.5904525768
11.2724222736,96.5286607652
